category,filename,expected,brightness_value,brightness_status,blur_value,blur_status
rppg_window_photo_attack,frame_0016.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0017.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0018.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0019.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0020.jpg,n/a,152.23,pass,94.69,fail
rppg_window_photo_attack,frame_0021.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0022.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0023.jpg,n/a,152.23,pass,94.73,fail
rppg_window_photo_attack,frame_0024.jpg,n/a,152.23,pass,94.69,fail
rppg_window_photo_attack,frame_0025.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0026.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0027.jpg,n/a,152.23,pass,94.74,fail
rppg_window_photo_attack,frame_0028.jpg,n/a,152.23,pass,94.74,fail
rppg_window_photo_attack,frame_0029.jpg,n/a,152.23,pass,94.73,fail
rppg_window_photo_attack,frame_0030.jpg,n/a,152.23,pass,94.67,fail
rppg_window_photo_attack,frame_0031.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0032.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0033.jpg,n/a,152.23,pass,94.68,fail
rppg_window_photo_attack,frame_0034.jpg,n/a,152.23,pass,94.74,fail
rppg_window_photo_attack,frame_0035.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0036.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0037.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0038.jpg,n/a,152.23,pass,94.72,fail
rppg_window_photo_attack,frame_0039.jpg,n/a,152.23,pass,94.68,fail
rppg_window_photo_attack,frame_0040.jpg,n/a,152.23,pass,94.75,fail
rppg_window_photo_attack,frame_0041.jpg,n/a,152.23,pass,94.72,fail
rppg_window_photo_attack,frame_0042.jpg,n/a,152.23,pass,94.69,fail
rppg_window_photo_attack,frame_0043.jpg,n/a,152.23,pass,94.73,fail
rppg_window_photo_attack,frame_0044.jpg,n/a,152.23,pass,94.72,fail
rppg_window_photo_attack,frame_0045.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0046.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0047.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0048.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0049.jpg,n/a,152.23,pass,94.69,fail
